,restaurant,street,zipCode,city,country,lat,long
0,Starbucks,Neue Promenade 3,0,Berlin,Germany,52.52317,13.4023
1,Starbucks,Dircksenstrasse 2,0,Berlin,Germany,52.52042,13.41338
2,Starbucks,Alexanderplatz 2,0,Berlin,Germany,52.52101,13.41339
3,Starbucks,Grunerstrasse 20,0,Berlin,Germany,52.52024,13.4147
4,Starbucks,Friedrichstrasse 96,0,Berlin,Germany,52.51955,13.38849
5,Starbucks,Friedrichstrasse 110 111,0,Berlin,Germany,52.52491,13.3876
6,Starbucks,Friedrichstrasse 61,0,Berlin,Germany,52.51098,13.38986
7,Starbucks,Pariser Platz 4a,0,Berlin,Germany,52.51592,13.37952
8,Starbucks,Europaplatz 1,0,Berlin,Germany,52.52584,13.36913
9,Starbucks,Muhlenstrasse 3 100,0,Berlin,Germany,52.56854,13.40412
10,Starbucks,Schoenhauser Allee 78 80 10439 Berlin,0,Berlin,Germany,52.54944,13.41388
11,Starbucks,Warschauer Strasse,0,Berlin,Germany,52.50882,13.4507
12,Starbucks,Hadenbergplatz 11,0,Berlin,Germany,52.50798,13.33364
13,Starbucks,Kurfuerstendamm 231,0,Berlin,Germany,52.50403,13.33263
14,Starbucks,Joachimsthaler Str 3,0,Berlin,Germany,52.50567,13.33177
15,Starbucks,Kurfuerstendamm 224 10719 Berlin,0,Berlin,Germany,52.50336,13.32957
16,Starbucks,Kurfuerstendamm 61,0,Berlin,Germany,52.50065,13.31289
17,McDonalds,Alexanderplatz 1,10178,Berlin,Germany,52.52115,13.4129
18,McDonalds,Europaplatz 1,10557,Berlin,Germany,52.52584,13.36913
19,McDonalds,Hansastra�e 1,13053,Berlin,Germany,52.547,13.46849
20,McDonalds,Hanne-Sobek-Platz 1,13357,Berlin,Germany,52.5488,13.38807
21,McDonalds,Grunerstra�e 20,10179,Berlin,Germany,52.52024,13.4147
22,McDonalds,Osloer Stra�e,13359,Berlin,Germany,52.55619,13.37856
23,McDonalds,Alboinstra�e 4,12103,Berlin,Germany,52.46956,13.37135
24,McDonalds,Weitlingstra�e 22,10317,Berlin,Germany,52.50941,13.49766
25,McDonalds,Gro�beerenstra�e 22,12107,Berlin,Germany,52.43855,13.38779
26,McDonalds,Wrangelstra�e 35,10997,Berlin,Germany,52.50088,13.43639
27,McDonalds,Sonntagsstra�e 37,10245,Berlin,Germany,52.50412,13.46867
28,McDonalds,Kurt-Schumacher-Damm 38,13405,Berlin,Germany,52.56077,13.32336
29,McDonalds,Prenzlauer Promenade 45,13089,Berlin,Germany,52.56101,13.42859
30,McDonalds,Wendenschlo�stra�e 2,12559,Berlin,Germany,52.413,13.6605
31,McDonalds,Charlottenburger Chaussee 49,13597,Berlin,Germany,52.52702,13.23357
32,McDonalds,Am Borsigturm 2,13507,Berlin,Germany,52.5838,13.28676
33,McDonalds,Am Ostbahnhof 9,10243,Berlin,Germany,52.50949,13.43443
34,McDonalds,Bitterfelder Stra�e 9,12681,Berlin,Germany,52.55359,13.54381
35,McDonalds,Alt-Mahlsdorf 60,12623,Berlin,Germany,52.50416,13.62338
36,McDonalds,Alt-Friedrichsfelde 61,10315,Berlin,Germany,52.50981,13.53173
37,McDonalds,Werner-Vo�-Damm 62,12101,Berlin,Germany,52.47552,13.3643
38,McDonalds,Karl-Marx-Stra�e 66,12043,Berlin,Germany,52.48228,13.43313
39,McDonalds,Greifswalder Stra�e 80,10405,Berlin,Germany,52.53973,13.43739
40,McDonalds,Klosterstra�e 3,13581,Berlin,Germany,52.53317,13.19843
41,McDonalds,Saalestra�e 83,12055,Berlin,Germany,52.46976,13.44224
42,McDonalds,Markstra�e 16,13409,Berlin,Germany,52.5606,13.36355
43,McDonalds,Rudower Stra�e 100,12351,Berlin,Germany,52.43623,13.46501
44,McDonalds,Frankfurter Allee 117,10247,Berlin,Germany,52.51364,13.47606
